product_name,product_code,type,revenue_2019,quantity_2019,revenue_2020,quantity_2020,revenue_2021,quantity_2021,revenue_2022,quantity_2022,revenue_2023,quantity_2023
Staff of Flowers,12288198,ARMS & ARMOUR,93960,324,128470,443,115710,399,130964.0,457,199810,689
Bowl of Commanding Water Elementals,12329047,SUMMONING DEVICE,436149,441,398567,403,309557,313,370875.0,375,307579,311
Giant War Lizard,12353959,ANIMALS & TRANSPORTATION,239953,413,228333,393,246925,425,253316.0,436,220199,379
Cauldron of Rebirth,12354764,TOOLS & KITS,31680,440,24408,339,32256,448,25056.0,348,31248,434
Stone of Good Luck (Luckstone),12391880,ADVENTURING EQUIPMENT,229320,390,269892,459,263424,448,291060.0,495,220500,375
"Tent, two-person ",12426423,ADVENTURING EQUIPMENT,265650,462,223675,389,231725,403,261625.0,455,194350,338
Blood of the Lycanthrope Antidote,12436254,POTIONS & SCROLLS,50337,357,54285,385,49068,348,66129.0,469,54849,389
Rod,12438213,ADVENTURING EQUIPMENT,306850,425,319846,443,321290,445,296020.0,410,295298,409
Braclet of Rock Magic,12444160,ARMS & ARMOUR,354650,410,345135,399,358110,414,376275.0,435,343405,397
Dust of Deliciousness,12445982,ADVENTURING EQUIPMENT,378819,441,378819,441,340164,396,387409.0,451,374524,436
Potion of Gaseous Form,12460265,POTIONS & SCROLLS,63342,414,72369,473,78642,514,54621.0,357,63036,412
Horn,12499477,MUSICAL INSTRUMENT,107310,365,97902,333,122892,418,120246.0,409,124656,424
Totem (Druidic focus),12506088,ADVENTURING EQUIPMENT,99997,361,127420,460,111908,404,109969.0,397,121049,437
Living Medium Armour,12534055,ARMS & ARMOUR,200942,434,194460,420,165754,358,206498.0,446,165754,358
Belt of Cloud Giant Strength,12566546,ADVENTURING EQUIPMENT,16728,408,15662,382,15129,369,13366.0,326,14596,356
Rod of Resurrection,12733542,ADVENTURING EQUIPMENT,188778,438,168952,392,192226,446,191708.80000000002,457,167659,389
Quarterstaff ,12790077,ARMS & ARMOUR,126360,1404,191340,2126,170460,1894,166860.0,1854,104490,1161
Helm of Comprehending Languages,12797188,ADVENTURING EQUIPMENT,126400,400,138092,437,121976,386,131140.0,415,126084,399
Ring of Swimming,12816694,JEWELRY,95221,427,80949,363,80280,360,58448.299999999996,269,68907,309
Potion of Storm Giant Strength,12840778,POTIONS & SCROLLS,203808,386,254496,482,224400,425,184272.0,349,192192,364
Armour of Vulnerability,12856263,ARMS & ARMOUR,139432,1202,178408,1538,82824,714,52432.0,452,61248,528
Dragonstaff of Ahghairon,12900081,ARMS & ARMOUR,265428,438,327846,541,319968,528,1002930.0,1655,767802,1267
Alchemist’s fire (flask) ,12904245,POTIONS & SCROLLS,369972,478,363006,469,277866,359,283284.0,366,313470,405
Ioun Stone - Religious Knowledge,12923092,ADVENTURING EQUIPMENT,308511,413,341379,457,320463,429,292824.0,392,308511,413
"Ball bearings (bag of 1,000) ",12954386,ADVENTURING EQUIPMENT,196992,432,184680,405,159144,349,184224.0,404,213864,469
Club ,13035994,ARMS & ARMOUR,190164,318,273884,458,281060,470,381524.0,638,260728,436
Arrows +3,13103633,ARMS & ARMOUR,327082,383,965020,1130,1062376,1244,893284.0,1046,332206,389
Arrows +2,13120912,ARMS & ARMOUR,18915,485,26325,675,20202,518,18525.0,475,15600,400
Battleaxe ,13175637,ARMS & ARMOUR,67416,424,67257,423,117183,737,254241.0,1599,243270,1530
Mirror of Life Trapping,13249335,ADVENTURING EQUIPMENT,288768,384,310576,413,347424,462,277488.0,369,278240,370
Keycharm,13261430,ADVENTURING EQUIPMENT,92796,444,105127,503,82346,394,67862.3,332,115577,553
Bloodwell Vial,13282716,POTIONS & SCROLLS,163064,436,170544,456,179146,479,138006.0,369,158950,425
Splint mail,13315364,ARMS & ARMOUR,347650,425,333744,408,644584,788,1234362.0,1509,1914938,2341
Sekolahian Worshiping Statuette,13360454,ADVENTURING EQUIPMENT,13260,390,11628,342,13022,383,14042.0,413,11934,351
Ring of Protection,13435973,JEWELRY,198144,384,222396,431,223428,433,156296.4,310,225492,437
Amulet of Protection from Turning,13491134,JEWELRY,4381,337,4641,357,4732,364,5694.0,438,4784,368
Poisoner’s kit ,13523472,TOOLS & KITS,28980,420,19113,277,30843,447,27324.0,396,24426,354
Gloves of Missile Snaring,13554698,ADVENTURING EQUIPMENT,368740,412,342785,383,309670,346,381270.0,426,340100,380
Ioun Stone - Language Knowledge,13709109,ADVENTURING EQUIPMENT,325405,431,325405,431,256700,340,285390.0,378,345035,457
Mess kit ,13723867,TOOLS & KITS,165645,405,178733,437,158283,387,114520.0,280,177506,434
Mending Clothes Enchantment,13744270,POTIONS & SCROLLS,127820,415,113960,370,138600,450,96681.20000000001,323,97944,318
Tome of Clear Thought,13786108,POTIONS & SCROLLS,95910,345,117316,422,99246,357,105084.0,378,132050,475
Basket ,13836109,TOOLS & KITS,51353,577,26789,301,41207,463,34710.0,390,36223,407
Last Stand Armour,13894759,ARMS & ARMOUR,425024,458,395328,426,278400,300,381315.20000000007,422,312736,337
Goggles of Object Reading,13897061,ADVENTURING EQUIPMENT,229299,427,262056,488,216411,403,248631.0,463,216948,404
Rowboat,13960481,ANIMALS & TRANSPORTATION,432520,440,452180,460,388285,395,470857.0,479,449231,457
Gloves of Missile Snaring,14126368,ADVENTURING EQUIPMENT,136479,469,131823,453,118437,407,106215.0,365,130950,450
Vial (Crate),14191222,POTIONS & SCROLLS,188680,445,164936,389,189104,446,145432.0,343,144584,341
Fulminating Treatise,14215138,ADVENTURING EQUIPMENT,413600,470,332640,378,416240,473,285120.0,324,399520,454
Scale mail ,14285650,ARMS & ARMOUR,117260,410,108394,379,109824,384,92950.0,325,140140,490
Wings of Flying,14294155,ADVENTURING EQUIPMENT,378636,417,316892,349,274216,302,384992.0,424,386808,426
Cloak of Elvenkind,14363680,ADVENTURING EQUIPMENT,272426,406,238876,356,224114,334,281820.0,420,330803,493
Shard of the Ise Rune,14434053,ADVENTURING EQUIPMENT,47190,390,55902,462,54813,453,62073.0,513,52514,434
Dodecahedron of Doom,14446191,TOOLS & KITS,40480,368,43120,392,46970,427,40810.0,371,49830,453
"Lantern, bullseye ",14448104,TOOLS & KITS,81528,516,70942,449,52930,335,58776.0,372,60830,385
Net,14451062,ARMS & ARMOUR,80320,1255,44544,696,23040,360,30784.0,481,22016,344
Pony,14464077,ANIMALS & TRANSPORTATION,159873,331,223146,462,204309,423,136206.0,282,243432,504
Cobbler’s tools ,14475948,TOOLS & KITS,382200,420,312130,343,368550,405,385840.0,424,415870,457
Potion of Mind Reading,14497595,POTIONS & SCROLLS,186984,392,205110,430,193662,406,164660.40000000002,355,201294,422
Mantle of Spell Resistance,14513058,ADVENTURING EQUIPMENT,245280,511,221760,462,192480,401,220800.0,460,244800,510
Lock (Box of 12),14523907,TOOLS & KITS,293643,413,299331,421,299331,421,304308.0,428,327771,461
Dulcimer,14529418,MUSICAL INSTRUMENT,24120,360,24455,365,23852,356,27135.0,405,29748,444
Ioun Stone - Awareness,14594127,ADVENTURING EQUIPMENT,275808,416,345423,521,230724,348,222768.0,336,283101,427
Banner of the Krig Rune,14638031,ADVENTURING EQUIPMENT,372020,418,368460,414,367570,413,383590.0,431,316840,356
Burlap Sack (Set of 20),14639184,TOOLS & KITS,294756,348,328636,388,276969,327,272734.0,322,375221,443
Hammer ,14667482,TOOLS & KITS,41650,490,36125,425,35530,418,35190.0,414,27965,329
Irian Rosewood Focus,14831743,ADVENTURING EQUIPMENT,68970,418,66825,405,61710,374,83160.0,504,59895,363
Barrel,14887423,ADVENTURING EQUIPMENT,379080,585,214488,331,199584,308,232632.0,359,288360,445
Hunting trap ,14903135,ADVENTURING EQUIPMENT,24174,474,20196,396,16626,326,22236.0,436,21573,423
Maul ,15035849,ARMS & ARMOUR,29970,405,66600,900,80734,1091,51726.0,699,113072,1528
Cubic Gate,15152188,SUMMONING DEVICE,87042,489,68530,385,69420,390,79032.0,444,66572,374
Sword of Vengeance,15169524,ARMS & ARMOUR,127786,353,93034,257,168330,465,511397.4,1449,484718,1339
Mabaran Ebony Focus,15185689,ADVENTURING EQUIPMENT,83308,353,96288,408,87792,372,81184.0,344,90624,384
Scroll of Protection (Fey),15296276,POTIONS & SCROLLS,274500,450,260470,427,171410,281,211060.0,346,242170,397
Boots of the Winterlands,15316814,ADVENTURING EQUIPMENT,120450,365,114510,347,116820,354,111210.0,337,98670,299
Medium Armour +2,15339032,ARMS & ARMOUR,289674,399,288222,397,352836,486,315810.0,435,480612,662
"Rope, silk (50 feet) ",15355427,TOOLS & KITS,46609,367,43561,343,53467,421,51689.0,407,47625,375
Silver Horn of Valhalla,15448139,SUMMONING DEVICE,398520,410,390744,402,368388,379,347004.0,357,363528,374
White Dragon Mask,15473113,ARMS & ARMOUR,105364,497,106212,501,106424,502,142676.0,687,230656,1088
Ring of Temporal Salvation,15524866,JEWELRY,251762,367,223636,326,277830,405,251076.0,366,239414,349
Riding Steeder,15692685,ANIMALS & TRANSPORTATION,291235,371,250415,319,267685,341,336765.0,429,251200,320
Boots of Levitation,15710906,ADVENTURING EQUIPMENT,321888,336,451218,471,358292,374,273030.0,285,362124,378
Shovel ,15805983,TOOLS & KITS,347578,427,393976,484,365486,449,303622.0,373,343508,422
Potion of Supreme Healing,15807049,POTIONS & SCROLLS,121520,392,144460,466,116870,377,137330.0,443,133920,432
Alchemy Jug,15839750,ADVENTURING EQUIPMENT,465500,500,377055,405,371469,399,347821.60000000003,390,390089,419
Alchemical Compendium,15860674,POTIONS & SCROLLS,314712,423,274536,369,348936,469,281976.0,379,354888,477
Shavarran Birch Focus,15870520,ADVENTURING EQUIPMENT,359102,409,388076,442,304666,347,285350.0,325,366126,417
Feather Token (Anchor),15896432,ADVENTURING EQUIPMENT,97200,400,116640,480,111537,459,111634.20000000001,473,110808,456
Ioun Stone - Agility,15923301,ADVENTURING EQUIPMENT,375832,436,388762,451,350834,407,426690.0,495,336180,390
Polymorph Blade,15930062,ARMS & ARMOUR,318472,376,326095,385,303226,358,337953.0,399,367598,434
Armor of Gleaming Enchantment,16026573,POTIONS & SCROLLS,302544,382,346104,437,175824,222,345549.6,442,367488,464
Sword of the Paruns,16054910,ARMS & ARMOUR,132662,1174,148595,1315,97971,867,36612.0,324,42714,378
Black Crystal Tablet,16094924,SUMMONING DEVICE,279172,284,404013,411,319475,325,386319.0,393,502313,511
Bonecounter,16122589,ARMS & ARMOUR,207365,335,213555,345,271122,438,240791.0,389,263075,425
Torch (set of 20),16345409,ADVENTURING EQUIPMENT,394611,437,427119,473,355782,394,344946.0,382,353073,391
Spell Scroll Level 2,16350543,POTIONS & SCROLLS,221805,465,186507,391,199386,418,168858.0,354,150255,315
Oil of Etherealness,16388666,ADVENTURING EQUIPMENT,410475,421,354900,364,389025,399,494325.0,507,372450,382
Armour of Force vulnerability,16431970,ARMS & ARMOUR,76557,507,97395,645,108569,719,59796.0,396,65081,431
Pig,16453940,ANIMALS & TRANSPORTATION,264402,397,311688,468,244422,367,281718.0,423,207792,312
Tambourine,16484942,MUSICAL INSTRUMENT,242530,395,216742,353,190340,310,268932.0,438,203234,331
Whelm,16497992,ARMS & ARMOUR,614367,801,553007,721,273819,357,319072.0,416,269984,352
Potion of Longevity,16532783,POTIONS & SCROLLS,69600,435,70560,441,75520,472,73920.0,462,67680,423
Driftglobe,16537514,ADVENTURING EQUIPMENT,157964,404,143106,366,166957,427,181424.0,464,179078,458
Hell Hound Cloak,16569990,ADVENTURING EQUIPMENT,57040,368,65410,422,49910,322,55955.0,361,66805,431
Lock of Trickery,16627784,ADVENTURING EQUIPMENT,181476,426,158046,371,193830,455,155916.0,366,178068,418
Wand of Lightning Bolts,16628336,ARMS & ARMOUR,1840,368,1975,395,1700,340,2115.0,423,1955,391
Flute,16653920,MUSICAL INSTRUMENT,131378,403,136594,419,105298,323,109536.0,336,118664,364
Decanter of Endless Water,16700971,ADVENTURING EQUIPMENT,373968,477,303408,387,304192,388,269696.0,344,283024,361
Ring of Swimming,16729191,JEWELRY,123200,440,100800,360,133280,476,138600.0,495,111440,398
Tome of Leadership and Influence,16790435,POTIONS & SCROLLS,322400,403,309600,387,389600,487,256800.0,321,328000,410
Pipes of the Sewers,16792229,MUSICAL INSTRUMENT,281673,357,306921,389,279306,354,276939.0,351,346371,439
Boots of the Winterlands,16920167,ADVENTURING EQUIPMENT,187677,331,214326,378,181440,320,145775.69999999998,265,240408,424
Feather Token (Whip),16971428,ADVENTURING EQUIPMENT,377664,448,355746,422,228453,271,436674.0,518,296736,352
Ioun Stone - Vitality,17103636,ADVENTURING EQUIPMENT,401692,431,452020,485,348568,374,291716.0,313,373732,401
Orb of Shielding,17113031,ADVENTURING EQUIPMENT,84490,355,76398,321,108052,454,93772.0,394,110194,463
Outer Essence Shard,17120543,ADVENTURING EQUIPMENT,359844,471,329284,431,279624,366,324700.0,425,331576,434
Feather Token (Tree),17163885,ADVENTURING EQUIPMENT,140346,414,130515,385,159330,470,118989.0,351,127125,375
Staff of Frost,17259726,ARMS & ARMOUR,490530,498,398925,405,427490,434,567360.0,576,581150,590
Military Boots,17270650,ADVENTURING EQUIPMENT,13767,353,16536,424,12207,313,13962.0,358,12441,319
Cloak of Invisibility,17286648,ADVENTURING EQUIPMENT,385518,469,295920,360,284412,346,327156.0,398,344418,419
Candle of the Deep,17324378,ADVENTURING EQUIPMENT,540328,548,412148,418,379610,385,372806.6,392,512720,520
"Lantern, hooded ",17378212,TOOLS & KITS,52471,383,50005,365,61239,447,60006.0,438,54937,401
Candle (Set of 24),17379944,TOOLS & KITS,185185,407,161980,356,156975,345,182000.0,400,186550,410
Shield ,17435769,ARMS & ARMOUR,525456,712,676746,917,563832,764,642798.0,871,351288,476
Bucket and Rope,17461212,TOOLS & KITS,222880,398,192080,343,261520,467,258160.0,461,259280,463
Earth Elemental Essence Shard,17586583,ADVENTURING EQUIPMENT,235600,400,220286,374,241490,410,242079.0,411,209684,356
Drum,17637912,MUSICAL INSTRUMENT,36105,435,34777,419,28386,342,29797.0,359,39923,481
Arcane Firearm,17641361,ARMS & ARMOUR,341736,491,438480,630,689736,991,1295256.0,1861,840072,1207
Ruinblade,17681252,ARMS & ARMOUR,397308,452,319956,364,355116,404,353358.0,402,265458,302
Serpent Scale Armour,17714538,ARMS & ARMOUR,14235,365,15795,405,15522,398,12636.0,324,14664,376
Component pouch ,17780024,ADVENTURING EQUIPMENT,58800,300,89376,456,91728,468,80556.0,411,91924,469
Pipes of the Sewers,17827083,MUSICAL INSTRUMENT,276840,360,259153,337,269150,350,253001.0,329,292989,381
Well of Many Worlds,17855381,SUMMONING DEVICE,265880,391,281520,414,244800,360,245480.0,361,286280,421
Cape of the Mountebank,17879876,ARMS & ARMOUR,130416,456,170742,597,173030,605,123838.0,433,136708,478
Battle Standard of Infernal Power,17972687,ADVENTURING EQUIPMENT,278760,460,232098,383,221190,365,327240.0,540,293910,485
Astromancy Archive,17985756,POTIONS & SCROLLS,233000,466,245000,490,237000,474,212500.0,425,239500,479
Spell Scroll Level 1,18062725,POTIONS & SCROLLS,372330,378,343765,349,427490,434,456055.0,463,359525,365
Water Elemental Essence Shard,18093883,ADVENTURING EQUIPMENT,314384,401,361424,461,329280,420,290080.0,370,282240,360
Potion of Resistance,18149497,POTIONS & SCROLLS,86000,250,124872,363,117304,341,147232.0,438,156864,456
Spell Gem (Obsidian),18176800,POTIONS & SCROLLS,104470,337,118420,382,119040,384,113460.0,366,145080,468
Scroll of Protection (Aberrations),18200515,POTIONS & SCROLLS,210222,458,184059,401,204714,446,172584.0,376,201501,439
Ioun Stone - Religious Knowledge,18204802,ADVENTURING EQUIPMENT,328512,348,388928,412,427632,453,463220.80000000005,498,431408,457
Dagger ,18223703,ARMS & ARMOUR,11860,593,19080,954,20980,1049,16380.0,819,6860,343
Risian Pine Focus,18305423,ADVENTURING EQUIPMENT,402864,462,327000,375,329616,378,352288.0,404,294736,338
Sword of the Paruns,18380182,ARMS & ARMOUR,243750,1250,280605,1439,169260,868,81315.0,417,90285,463
Horn of Silent Alarm,18449413,ADVENTURING EQUIPMENT,320292,372,329763,383,369369,429,334929.0,389,350427,407
Mule,18536458,ANIMALS & TRANSPORTATION,64124,391,78064,476,71504,436,61992.0,378,80688,492
Claw of the Wyrm Rune,18591669,ADVENTURING EQUIPMENT,17472,336,21944,422,18200,350,19136.0,368,23348,449
Marble Elephant of Wondrous Power,18603314,SUMMONING DEVICE,321492,367,345144,394,425736,486,268932.0,307,374928,428
"Pot, iron ",18608791,TOOLS & KITS,235494,441,222678,417,193308,362,225882.0,423,175686,329
Obsidian Steed of Wondrous Power,18759430,SUMMONING DEVICE,91509,517,72039,407,63897,361,65844.0,372,69738,394
Pennant of the Vind Rune,18862194,JEWELRY,179496,324,238220,430,217168,392,146256.0,264,206088,372
Brass Horn of Valhalla,18990913,SUMMONING DEVICE,311779,377,418462,506,234041,283,289450.0,350,402749,487
Greatclub,19074080,ARMS & ARMOUR,31920,380,31500,375,50232,598,66864.0,796,53676,639
Mastiff,19114167,ANIMALS & TRANSPORTATION,198217,379,198740,380,209200,400,183050.0,350,180435,345
Painter’s supplies ,19305027,TOOLS & KITS,248136,392,301941,477,265860,420,241173.0,381,225348,356
Dart (10),19361682,ARMS & ARMOUR,715152,752,797889,839,797889,839,739878.0,778,357576,376
Ring of Air Elemental Command,19418268,SUMMONING DEVICE,147000,375,145824,372,180320,460,188944.0,482,165424,422
Pouch ,19447528,TOOLS & KITS,131672,436,73990,245,117478,389,111740.0,370,121102,401
Horn of Endless Maze,19477812,SUMMONING DEVICE,212532,356,251934,422,254322,426,204771.0,343,223278,374
Ironfang,19512135,ARMS & ARMOUR,822626,938,1362858,1554,1254110,1430,1271650.0,1450,1028721,1173
Onyx Dog of Wondrous Power,19517643,SUMMONING DEVICE,289460,410,267574,379,285930,405,285930.0,405,290872,412
Sunsword,19532756,ARMS & ARMOUR,269884,436,183224,296,425253,687,990400.0,1600,846173,1367
Tome of Understanding,19557821,POTIONS & SCROLLS,291555,495,255626,434,203205,345,223820.0,380,226765,385
Amulet (Holy symbol),19730864,ADVENTURING EQUIPMENT,182320,424,189630,441,129860,302,142760.0,332,181030,421
Greataxe ,19834752,ARMS & ARMOUR,332990,469,290390,409,277610,391,339380.0,478,426710,601
Bagpipes,19867825,MUSICAL INSTRUMENT,305161,401,273960,360,272438,358,342450.0,450,358431,471
Staff of Charming,19929874,ARMS & ARMOUR,286936,403,333928,469,275544,387,331792.0,466,311856,438
Pole of Angling,19933727,ADVENTURING EQUIPMENT,170772,399,193884,453,221276,517,187892.0,439,192600,450
Scroll of Protection (Celestials),19942139,POTIONS & SCROLLS,284256,423,245952,366,299040,445,322560.0,480,242592,361
Magical Elven Chain,19952009,ARMS & ARMOUR,109500,438,86500,346,99250,397,95000.0,380,113250,453
Jeweler’s tools ,19989250,TOOLS & KITS,331248,412,356976,444,223512,278,352152.0,438,303912,378
Anstruth harp,19990112,MUSICAL INSTRUMENT,157014,366,160875,375,179322,418,151866.0,354,188331,439
Balloon Pack,20041962,ADVENTURING EQUIPMENT,177508,446,145668,366,152832,384,173528.0,436,160792,404
Talisman of Ultimate Evil,20062955,JEWELRY,180576,342,249744,473,204864,388,175824.0,333,182160,345
Circlet of Human Perfection,20081620,ADVENTURING EQUIPMENT,418758,426,458078,466,510177,519,378455.0,385,410894,418
Devotees Censer,20120211,ARMS & ARMOUR,143256,376,126492,332,121539,319,528066.0,1386,547116,1436
Dispelling Stone,20128711,ADVENTURING EQUIPMENT,240890,442,223450,410,234350,430,164045.0,301,174400,320
"Case, map or scroll ",20148448,POTIONS & SCROLLS,16240,406,15800,395,15720,393,19400.0,485,12800,320
Ioun Stone - Protection,20159870,ADVENTURING EQUIPMENT,435240,465,375336,401,369720,395,312624.0,334,356616,381
Potter’s tools ,20162078,TOOLS & KITS,203058,389,170694,327,233856,448,179046.0,343,147204,282
Light Armour +2,20181476,ARMS & ARMOUR,164131,347,194876,412,158455,335,173591.0,367,169334,358
Daerns Instant Fortress,20224969,SUMMONING DEVICE,84400,422,80400,402,91400,457,85800.0,429,79200,396
Pennant of the Vind Rune,20275431,JEWELRY,382398,391,407826,417,413694,423,376530.0,385,396090,405
Unbreakable Arrow,20286498,ARMS & ARMOUR,80375,643,140625,1125,120750,966,60750.0,486,39625,317
Wand of Web,20320573,ARMS & ARMOUR,99375,375,104410,394,79765,301,113950.0,430,102555,387
Cloak of Many Fashions,20349337,ADVENTURING EQUIPMENT,319300,412,268150,346,347200,448,298452.5,395,308450,398
Ioun Stone - Regeneration,20397355,ADVENTURING EQUIPMENT,436149,483,312438,346,383775,425,423416.7,482,389193,431
Mastiff,20439320,ANIMALS & TRANSPORTATION,67890,365,64170,345,73656,396,50406.0,271,74586,401
Horn of Silent Alarm,20445721,ADVENTURING EQUIPMENT,233784,408,285354,498,260142,454,241233.0,421,273894,478
Chain mail ,20456327,ARMS & ARMOUR,106092,421,119196,473,105084,417,114912.0,456,116172,461
Emblem (Holy symbol),20499480,ADVENTURING EQUIPMENT,124576,272,181826,397,164880,360,196024.0,428,180910,395
Feather Token (Swan Boat),20518671,ADVENTURING EQUIPMENT,63536,418,54568,359,51832,341,79192.0,521,68552,451
Pan flute,20554238,MUSICAL INSTRUMENT,313287,377,270075,325,345696,416,319104.0,384,321597,387
Uncommon Crafting Components,20567742,TOOLS & KITS,23706,439,20520,380,20898,387,19602.0,363,19116,354
Cursed Luckstone,20718981,ADVENTURING EQUIPMENT,415388,452,365762,398,385061,419,322569.0,351,329921,359
