Type,Key Account,Region,ProductPricesInCP_split_23,ProductPricesInCP_split_19,growth_tot
MUSICAL INSTRUMENT,Order of the Gauntlet,New Neverwinter Empire,1883.0,13667.0,-0.8622228726128631
TOOLS & KITS,Lionshield Coster,Calim Empire,139932.0,135043.0,0.03620328339862122
MUSICAL INSTRUMENT,Night's Knights,Purple Dragon Empire,28106.0,16281.0,0.7263067379153614
TOOLS & KITS,Black Phoenix,Calim Empire,171189.0,181400.0,-0.05628996692392507
TOOLS & KITS,House of Wonders,Waterdhavian Empire,53698.0,68194.0,-0.2125700208229463
MUSICAL INSTRUMENT,Night's Knights,Waterdhavian Empire,28660.0,15052.0,0.9040659048631412
ADVENTURING EQUIPMENT,Nobility,Thayan Empire,279650.0,359707.0,-0.22256169604706055
JEWELRY,House of Wonders,Bloodlands Empire,40537.0,42911.0,-0.055323809745752794
TOOLS & KITS,Black Phoenix,Old Empire,27824.0,59254.0,-0.5304283255138893
ADVENTURING EQUIPMENT,Three Wishes,None Empire,110752.0,53921.0,1.0539678418426957
ADVENTURING EQUIPMENT,Three Wishes,Southern Empire,75627.0,57187.0,0.322450906674594
TOOLS & KITS,House of Wonders,Western Empire,13154.0,35103.0,-0.6252741930889099
ADVENTURING EQUIPMENT,Nobility,United Moonshae Empire,93889.0,28418.0,2.303856710535576
ADVENTURING EQUIPMENT,Three Wishes,Purple Dragon Empire,573761.0,582638.0,-0.015235875449249758
MUSICAL INSTRUMENT,Night's Knights,Western Empire,7278.0,7255.0,0.0031702274293590182
TOOLS & KITS,Lionshield Coster,Bloodlands Empire,121975.0,128005.0,-0.04710753486191943
JEWELRY,House of Wonders,Calim Empire,79614.0,70017.0,0.13706671236985302
JEWELRY,Night's Knights,United Moonshae Empire,11377.0,22308.0,-0.49000358615743234
JEWELRY,Night's Knights,Purple Dragon Empire,34295.0,53562.0,-0.35971397632650015
JEWELRY,House of Wonders,Dwarven Empire,17611.0,33995.0,-0.48195322841594357
TOOLS & KITS,House of Wonders,United Moonshae Empire,33907.0,44854.0,-0.24405850091407677
MUSICAL INSTRUMENT,Order of the Gauntlet,Halruaan Empire,42208.0,37124.0,0.13694644973601977
ADVENTURING EQUIPMENT,Nobility,Western Empire,49589.0,42770.0,0.15943418283843824
JEWELRY,House of Wonders,Halruaan Empire,80281.0,77038.0,0.04209610841402944
TOOLS & KITS,Lionshield Coster,Dwarven Empire,22887.0,99653.0,-0.7703330557032904
ADVENTURING EQUIPMENT,Three Wishes,Halruaan Empire,935919.0,925693.0,0.011046858947836968
TOOLS & KITS,Black Phoenix,Halruaan Empire,357121.0,354051.0,0.008671067162640433
ADVENTURING EQUIPMENT,Order of the Gauntlet,Bloodlands Empire,211358.0,152634.0,0.3847373455455534
JEWELRY,No Key Account,Amnian Empire,1645498.0,1575112.0,0.04468634611380007
TOOLS & KITS,Black Phoenix,Bloodlands Empire,24156.0,40243.0,-0.3997465397708918
TOOLS & KITS,Black Phoenix,Dwarven Empire,34128.0,98742.0,-0.6543719997569424
JEWELRY,Lionshield Coster,Dwarven Empire,13937.0,31349.0,-0.5554244154518486
ADVENTURING EQUIPMENT,Order of the Gauntlet,Dwarven Empire,35283.0,163973.0,-0.7848243308349545
ADVENTURING EQUIPMENT,Private Buyer,None Empire,350012.0,302307.0,0.15780316036347153
ADVENTURING EQUIPMENT,Sprite's & Spirits,Dwarven Empire,124008.0,133773.0,-0.07299679307483575
MUSICAL INSTRUMENT,No Key Account,United Moonshae Empire,789567.0,979350.0,-0.19378465308623072
TOOLS & KITS,Clothes Contact,Old Empire,9916.0,41543.0,-0.7613075608405748
JEWELRY,Lionshield Coster,Southern Empire,10539.0,9828.0,0.07234432234432231
TOOLS & KITS,Bottle's Up,Thayan Empire,222543.0,124408.0,0.7888158317793068
ADVENTURING EQUIPMENT,Private Buyer,New Neverwinter Empire,720937.0,716610.0,0.006038151853867468
MUSICAL INSTRUMENT,No Key Account,Thayan Empire,888783.0,1054293.0,-0.15698672001047143
MUSICAL INSTRUMENT,Nobility,Old Empire,11788.0,21001.0,-0.4386933955525927
JEWELRY,House of Wonders,Western Empire,8406.0,4458.0,0.8855989232839838
ADVENTURING EQUIPMENT,Sprite's & Spirits,Halruaan Empire,688561.0,615806.0,0.11814597454393105
TOOLS & KITS,Clothes Contact,Purple Dragon Empire,244742.0,219112.0,0.11697214210084339
ADVENTURING EQUIPMENT,Private Buyer,Halruaan Empire,1279423.0,1023667.0,0.24984296651157067
JEWELRY,Lionshield Coster,Purple Dragon Empire,63724.0,54725.0,0.1644403837368662
TOOLS & KITS,Bottle's Up,Southern Empire,1880.0,13025.0,-0.8556621880998081
MUSICAL INSTRUMENT,Nobility,Purple Dragon Empire,80113.0,44604.0,0.7960945206707919
MUSICAL INSTRUMENT,No Key Account,Southern Empire,55254.0,32746.0,0.6873511268551884
TOOLS & KITS,Clothes Contact,Thayan Empire,131268.0,119128.0,0.10190719226378353
ADVENTURING EQUIPMENT,Sprite's & Spirits,Old Empire,59810.0,141420.0,-0.5770753783057558
ADVENTURING EQUIPMENT,Private Buyer,Eastern Empire,665129.0,599503.0,0.10946734211505205
JEWELRY,House of Wonders,Waterdhavian Empire,9533.0,2295.0,3.1538126361655774
TOOLS & KITS,Bottle's Up,Purple Dragon Empire,157146.0,130944.0,0.200100806451613
MUSICAL INSTRUMENT,Nobility,Southern Empire,3983.0,,
TOOLS & KITS,Clothes Contact,Waterdhavian Empire,63849.0,92410.0,-0.3090682826533925
MUSICAL INSTRUMENT,No Key Account,Purple Dragon Empire,805500.0,945381.0,-0.14796256747279668
ADVENTURING EQUIPMENT,Private Buyer,Dwarven Empire,477360.0,662634.0,-0.27960231439980443
ADVENTURING EQUIPMENT,Sprite's & Spirits,Purple Dragon Empire,442003.0,412018.0,0.0727759466819411
JEWELRY,Lionshield Coster,Waterdhavian Empire,32243.0,32110.0,0.004142011834319614
JEWELRY,Lionshield Coster,Thayan Empire,62772.0,69188.0,-0.09273284384575364
TOOLS & KITS,Clothes Contact,Western Empire,8054.0,18404.0,-0.5623777439687024
TOOLS & KITS,Clothes Contact,None Empire,10627.0,10320.0,0.02974806201550395
TOOLS & KITS,Bottle's Up,United Moonshae Empire,7024.0,11664.0,-0.39780521262002744
TOOLS & KITS,Clothes Contact,Bloodlands Empire,128959.0,191584.0,-0.3268801152497077
MUSICAL INSTRUMENT,Nobility,Bloodlands Empire,68061.0,50925.0,0.33649484536082475
ADVENTURING EQUIPMENT,Private Buyer,Waterdhavian Empire,845109.0,967025.0,-0.12607326594452062
ADVENTURING EQUIPMENT,Private Buyer,Western Empire,194917.0,271386.0,-0.28177208846440127
TOOLS & KITS,Clothes Contact,Amnian Empire,299455.0,356459.0,-0.15991740985639302
TOOLS & KITS,Clothes Contact,Calim Empire,179639.0,171929.0,0.04484409261962785
MUSICAL INSTRUMENT,Nobility,Calim Empire,53308.0,68933.0,-0.2266693746101287
JEWELRY,Lionshield Coster,Halruaan Empire,64954.0,62995.0,0.031097706167156014
ADVENTURING EQUIPMENT,Private Buyer,United Moonshae Empire,2368894.0,2887212.0,-0.17952197483246812
JEWELRY,Lionshield Coster,Calim Empire,61479.0,75231.0,-0.18279698528532118
ADVENTURING EQUIPMENT,Sprite's & Spirits,Amnian Empire,512093.0,729367.0,-0.29789392719988705
MUSICAL INSTRUMENT,Nobility,Amnian Empire,113553.0,75522.0,0.5035751171843965
TOOLS & KITS,Clothes Contact,Dwarven Empire,65515.0,91541.0,-0.2843097628385095
JEWELRY,Lionshield Coster,Amnian Empire,64029.0,118586.0,-0.4600627392778237
TOOLS & KITS,Bottle's Up,Western Empire,29937.0,43709.0,-0.31508385000800754
JEWELRY,Lionshield Coster,None Empire,5610.0,9554.0,-0.4128113879003559
MUSICAL INSTRUMENT,Nobility,Dwarven Empire,19575.0,18661.0,0.04897915438615286
ADVENTURING EQUIPMENT,Sprite's & Spirits,Bloodlands Empire,238126.0,257794.0,-0.07629347463478586
JEWELRY,Lionshield Coster,Bloodlands Empire,52720.0,33614.0,0.5683941214969952
MUSICAL INSTRUMENT,No Key Account,Western Empire,81845.0,152312.0,-0.46264903618887543
ADVENTURING EQUIPMENT,Private Buyer,Purple Dragon Empire,1763767.0,1414826.0,0.2466317412883281
TOOLS & KITS,Bottle's Up,Waterdhavian Empire,81776.0,45277.0,0.8061267310113303
JEWELRY,Lionshield Coster,Old Empire,33115.0,18642.0,0.7763651968672889
TOOLS & KITS,Clothes Contact,New Neverwinter Empire,39666.0,38946.0,0.018487136034509355
ADVENTURING EQUIPMENT,Sprite's & Spirits,Calim Empire,464329.0,326531.0,0.4220058738680248
MUSICAL INSTRUMENT,No Key Account,Waterdhavian Empire,257969.0,263012.0,-0.019174030082277582
MUSICAL INSTRUMENT,Nobility,Halruaan Empire,87721.0,102731.0,-0.14610974292083212
ADVENTURING EQUIPMENT,Private Buyer,Old Empire,323405.0,389321.0,-0.16931015794164717
ADVENTURING EQUIPMENT,Private Buyer,Thayan Empire,1999713.0,1734626.0,0.15282083861304963
TOOLS & KITS,Bottle's Up,Old Empire,12844.0,57688.0,-0.7773540424351685
ADVENTURING EQUIPMENT,Private Buyer,Calim Empire,2926852.0,2426292.0,0.20630657810354247
JEWELRY,House of Wonders,United Moonshae Empire,17068.0,27238.0,-0.3733754313826272
MUSICAL INSTRUMENT,No Key Account,Eastern Empire,142977.0,131696.0,0.085659397400073
TOOLS & KITS,House of Wonders,New Neverwinter Empire,15299.0,42470.0,-0.6397692488815634
MUSICAL INSTRUMENT,Nobility,Western Empire,6902.0,1368.0,4.045321637426901
ADVENTURING EQUIPMENT,Order of the Gauntlet,Purple Dragon Empire,138801.0,149060.0,-0.0688246343754193
TOOLS & KITS,Bottle's Up,Amnian Empire,270196.0,367161.0,-0.2640939533338236
JEWELRY,Night's Knights,Dwarven Empire,37830.0,43605.0,-0.13243894048847604
JEWELRY,House of Wonders,Old Empire,9460.0,15152.0,-0.3756599788806758
TOOLS & KITS,House of Wonders,None Empire,11813.0,8002.0,0.4762559360159959
MUSICAL INSTRUMENT,No Key Account,Dwarven Empire,147708.0,279280.0,-0.4711114293898596
ADVENTURING EQUIPMENT,Three Wishes,Amnian Empire,1071269.0,787604.0,0.36016195956343533
ADVENTURING EQUIPMENT,Order of the Gauntlet,Old Empire,43435.0,76046.0,-0.42883254872051124
JEWELRY,Night's Knights,Halruaan Empire,135562.0,78102.0,0.7357045914317175
TOOLS & KITS,House of Wonders,Old Empire,12410.0,33524.0,-0.6298174442190669
ADVENTURING EQUIPMENT,Sprite's & Spirits,Western Empire,75196.0,47110.0,0.5961791551687541
TOOLS & KITS,Black Phoenix,Waterdhavian Empire,27080.0,37482.0,-0.27751987620724616
ADVENTURING EQUIPMENT,Order of the Gauntlet,New Neverwinter Empire,39583.0,62856.0,-0.3702590047091765
ADVENTURING EQUIPMENT,Three Wishes,Bloodlands Empire,313868.0,238786.0,0.3144321693901653
MUSICAL INSTRUMENT,No Key Account,Calim Empire,816745.0,747378.0,0.09281381041454262
JEWELRY,House of Wonders,None Empire,8506.0,18275.0,-0.5345554035567716
TOOLS & KITS,House of Wonders,Purple Dragon Empire,278717.0,213572.0,0.3050259397299271
TOOLS & KITS,Black Phoenix,United Moonshae Empire,23084.0,,
JEWELRY,Night's Knights,None Empire,14264.0,18413.0,-0.2253299299408027
ADVENTURING EQUIPMENT,Order of the Gauntlet,Halruaan Empire,489768.0,514964.0,-0.048927692032841086
MUSICAL INSTRUMENT,No Key Account,Bloodlands Empire,646238.0,587374.0,0.10021553558720675
MUSICAL INSTRUMENT,Order of the Gauntlet,Bloodlands Empire,21587.0,10426.0,1.070496834835987
ADVENTURING EQUIPMENT,Three Wishes,Calim Empire,872766.0,637446.0,0.3691606818459916
TOOLS & KITS,House of Wonders,Southern Empire,21602.0,15942.0,0.35503700915819847
TOOLS & KITS,Black Phoenix,Thayan Empire,82602.0,69352.0,0.1910543315261275
MUSICAL INSTRUMENT,Order of the Gauntlet,Amnian Empire,93839.0,86115.0,0.08969401381873077
JEWELRY,House of Wonders,Purple Dragon Empire,92281.0,95316.0,-0.03184145369088087
ADVENTURING EQUIPMENT,Order of the Gauntlet,Thayan Empire,234531.0,234798.0,-0.0011371476758745835
JEWELRY,Night's Knights,Calim Empire,53451.0,87027.0,-0.3858112999413975
MUSICAL INSTRUMENT,No Key Account,Old Empire,102077.0,134358.0,-0.2402610934964795
ADVENTURING EQUIPMENT,Sprite's & Spirits,Southern Empire,51478.0,66059.0,-0.22072692592985055
MUSICAL INSTRUMENT,Nobility,Thayan Empire,37821.0,30595.0,0.2361823827422782
TOOLS & KITS,Bottle's Up,Halruaan Empire,250973.0,224190.0,0.11946563183014414
TOOLS & KITS,House of Wonders,Amnian Empire,334534.0,365961.0,-0.08587527086219571
JEWELRY,Lionshield Coster,Western Empire,19756.0,9232.0,1.1399480069324088
ADVENTURING EQUIPMENT,Private Buyer,Bloodlands Empire,1212750.0,1034292.0,0.17254121660034105
JEWELRY,House of Wonders,Thayan Empire,66729.0,98294.0,-0.32112845138055224
ADVENTURING EQUIPMENT,Sprite's & Spirits,Thayan Empire,342963.0,276466.0,0.24052505552219805
MUSICAL INSTRUMENT,No Key Account,None Empire,256524.0,196379.0,0.3062700186883527
TOOLS & KITS,House of Wonders,Bloodlands Empire,159834.0,139863.0,0.14278972995002248
ADVENTURING EQUIPMENT,Private Buyer,Amnian Empire,2747381.0,2933869.0,-0.06356384692022721
JEWELRY,Night's Knights,Amnian Empire,97575.0,96020.0,0.016194542803582568
TOOLS & KITS,Bottle's Up,Dwarven Empire,64339.0,45932.0,0.40074457894278503
MUSICAL INSTRUMENT,Nobility,United Moonshae Empire,7688.0,180.0,41.71111111111111
TOOLS & KITS,House of Wonders,Calim Empire,227647.0,240618.0,-0.053907022749752675
MUSICAL INSTRUMENT,No Key Account,New Neverwinter Empire,362713.0,389363.0,-0.06844512704083339
ADVENTURING EQUIPMENT,Sprite's & Spirits,United Moonshae Empire,73517.0,,
ADVENTURING EQUIPMENT,Order of the Gauntlet,Waterdhavian Empire,145947.0,142874.0,0.02150846200148382
JEWELRY,House of Wonders,Southern Empire,12567.0,12733.0,-0.013036990497133472
TOOLS & KITS,Bottle's Up,Calim Empire,143131.0,119847.0,0.19428104166145177
JEWELRY,Night's Knights,Bloodlands Empire,29122.0,26947.0,0.0807139941366386
TOOLS & KITS,House of Wonders,Dwarven Empire,69246.0,77198.0,-0.10300784994429912
MUSICAL INSTRUMENT,Nobility,Waterdhavian Empire,38534.0,23571.0,0.6348054813117814
ADVENTURING EQUIPMENT,Order of the Gauntlet,United Moonshae Empire,55646.0,72506.0,-0.2325324800706149
ADVENTURING EQUIPMENT,Sprite's & Spirits,Waterdhavian Empire,193304.0,172981.0,0.11748689162393555
MUSICAL INSTRUMENT,No Key Account,Halruaan Empire,693413.0,679235.0,0.020873482668001486
TOOLS & KITS,House of Wonders,Halruaan Empire,287181.0,239674.0,0.1982150754775236
TOOLS & KITS,Bottle's Up,Bloodlands Empire,33361.0,74728.0,-0.5535676051814581
JEWELRY,House of Wonders,New Neverwinter Empire,11802.0,12227.0,-0.03475913960906196
TOOLS & KITS,Clothes Contact,Halruaan Empire,385759.0,335359.0,0.15028670767744412
ARMS & ARMOUR,House of Wonders,Amnian Empire,1431062.0,1031016.0,0.3880114372618855
MUSICAL INSTRUMENT,Night's Knights,None Empire,11235.0,3463.0,2.244296852440081
TOOLS & KITS,Sprite's & Spirits,Amnian Empire,193754.0,239734.0,-0.19179590713040284
MUSICAL INSTRUMENT,Bottle's Up,Amnian Empire,59304.0,79596.0,-0.2549374340419116
ADVENTURING EQUIPMENT,Clothes Contact,Amnian Empire,1018706.0,812338.0,0.25404203668916137
JEWELRY,Sprite's & Spirits,Dwarven Empire,15088.0,21947.0,-0.31252562992664146
TOOLS & KITS,Private Buyer,Western Empire,67035.0,63327.0,0.058553223743426974
ADVENTURING EQUIPMENT,Clothes Contact,Bloodlands Empire,535680.0,530287.0,0.010169964566357548
MUSICAL INSTRUMENT,Bottle's Up,Bloodlands Empire,3124.0,30994.0,-0.89920629799316
TOOLS & KITS,Private Buyer,Waterdhavian Empire,284301.0,245679.0,0.1572051335278961
JEWELRY,Sprite's & Spirits,Calim Empire,50650.0,8952.0,4.657953529937444
ADVENTURING EQUIPMENT,Clothes Contact,Calim Empire,649751.0,453369.0,0.4331615086166014
MUSICAL INSTRUMENT,Bottle's Up,Calim Empire,65876.0,40986.0,0.6072805348167667
TOOLS & KITS,Private Buyer,United Moonshae Empire,803393.0,1111282.0,-0.27705748855825973
ADVENTURING EQUIPMENT,Clothes Contact,Dwarven Empire,219087.0,202017.0,0.08449783929075272
JEWELRY,Sprite's & Spirits,Bloodlands Empire,27680.0,39979.0,-0.3076365091673129
TOOLS & KITS,Private Buyer,Thayan Empire,683734.0,599309.0,0.14087056927227848
MUSICAL INSTRUMENT,Bottle's Up,Dwarven Empire,2934.0,21681.0,-0.8646741386467414
ADVENTURING EQUIPMENT,Clothes Contact,Halruaan Empire,1075473.0,845271.0,0.2723410598494447
JEWELRY,Sprite's & Spirits,Amnian Empire,69880.0,78956.0,-0.11495009878919904
TOOLS & KITS,Private Buyer,Purple Dragon Empire,637194.0,564217.0,0.12934207937726083
JEWELRY,Sprite's & Spirits,Halruaan Empire,84055.0,70387.0,0.19418358503700972
ADVENTURING EQUIPMENT,Clothes Contact,New Neverwinter Empire,108766.0,99542.0,0.09266440296558232
ADVENTURING EQUIPMENT,Bottle's Up,Western Empire,34016.0,86902.0,-0.6085705737497411
MUSICAL INSTRUMENT,Black Phoenix,Waterdhavian Empire,15062.0,3876.0,2.8859649122807016
ADVENTURING EQUIPMENT,Bottle's Up,Old Empire,47993.0,170096.0,-0.7178475684319443
MUSICAL INSTRUMENT,Black Phoenix,Old Empire,13241.0,25914.0,-0.4890406729952921
TOOLS & KITS,Sprite's & Spirits,Purple Dragon Empire,110403.0,173658.0,-0.3642504232456898
JEWELRY,Sprite's & Spirits,Thayan Empire,76187.0,55722.0,0.3672696600983454
ADVENTURING EQUIPMENT,Bottle's Up,Purple Dragon Empire,582090.0,474698.0,0.22623225714032924
TOOLS & KITS,Sprite's & Spirits,Old Empire,30054.0,21808.0,0.3781181217901688
MUSICAL INSTRUMENT,Black Phoenix,Purple Dragon Empire,77739.0,48341.0,0.6081380194865642
ADVENTURING EQUIPMENT,Bottle's Up,Southern Empire,48038.0,57338.0,-0.16219610031741605
JEWELRY,Sprite's & Spirits,Southern Empire,8716.0,19661.0,-0.5566858247291593
TOOLS & KITS,Sprite's & Spirits,Halruaan Empire,204750.0,234603.0,-0.12724901216096984
ADVENTURING EQUIPMENT,Bottle's Up,Thayan Empire,361297.0,419400.0,-0.13853838817358133
MUSICAL INSTRUMENT,Black Phoenix,Thayan Empire,9749.0,32089.0,-0.6961887251082925
JEWELRY,Sprite's & Spirits,Purple Dragon Empire,69764.0,67267.0,0.037120727845749046
TOOLS & KITS,Sprite's & Spirits,Dwarven Empire,61531.0,56524.0,0.08858184134173097
ADVENTURING EQUIPMENT,Bottle's Up,United Moonshae Empire,3889.0,35187.0,-0.8894762270156592
MUSICAL INSTRUMENT,Black Phoenix,United Moonshae Empire,141.0,,
TOOLS & KITS,Sprite's & Spirits,Calim Empire,109468.0,137276.0,-0.20257000495352429
JEWELRY,Sprite's & Spirits,Old Empire,18508.0,18647.0,-0.0074542821901646406
ADVENTURING EQUIPMENT,Bottle's Up,Waterdhavian Empire,162869.0,197303.0,-0.17452344870579772
TOOLS & KITS,Sprite's & Spirits,Bloodlands Empire,67786.0,76846.0,-0.1178981339301981
MUSICAL INSTRUMENT,Bottle's Up,Halruaan Empire,29201.0,42007.0,-0.30485395291260975
TOOLS & KITS,Private Buyer,Old Empire,138760.0,152154.0,-0.08802923353970316
JEWELRY,Private Buyer,Western Empire,18344.0,17610.0,0.04168086314593977
ADVENTURING EQUIPMENT,House of Wonders,Bloodlands Empire,293201.0,353850.0,-0.17139748480994776
MUSICAL INSTRUMENT,Bottle's Up,Western Empire,5530.0,846.0,5.536643026004728
TOOLS & KITS,Private Buyer,Amnian Empire,992728.0,928895.0,0.06871928474154765
JEWELRY,Private Buyer,None Empire,38089.0,50871.0,-0.2512629985649978
ADVENTURING EQUIPMENT,House of Wonders,Calim Empire,594759.0,606973.0,-0.020122806121524395
TOOLS & KITS,Order of the Gauntlet,Waterdhavian Empire,77874.0,47454.0,0.6410418510557592
MUSICAL INSTRUMENT,Clothes Contact,Amnian Empire,90673.0,70623.0,0.2839018450080002
ADVENTURING EQUIPMENT,House of Wonders,Dwarven Empire,172155.0,329089.0,-0.47687403711458
JEWELRY,Private Buyer,New Neverwinter Empire,131722.0,65247.0,1.0188207886952658
TOOLS & KITS,Order of the Gauntlet,United Moonshae Empire,13576.0,32176.0,-0.5780706116360019
ADVENTURING EQUIPMENT,House of Wonders,Halruaan Empire,1011374.0,854755.0,0.18323262221338288
MUSICAL INSTRUMENT,Clothes Contact,Bloodlands Empire,34420.0,46055.0,-0.2526327217457388
JEWELRY,Private Buyer,Halruaan Empire,167028.0,175454.0,-0.04802398349424919
TOOLS & KITS,Order of the Gauntlet,Thayan Empire,103425.0,111930.0,-0.075984990619137
ADVENTURING EQUIPMENT,House of Wonders,New Neverwinter Empire,32764.0,69152.0,-0.5262031466913466
MUSICAL INSTRUMENT,Clothes Contact,Calim Empire,72986.0,45674.0,0.5979769672023472
TOOLS & KITS,Order of the Gauntlet,Purple Dragon Empire,39517.0,56030.0,-0.29471711583080495
JEWELRY,Private Buyer,Eastern Empire,109617.0,49432.0,1.2175311539083995
ADVENTURING EQUIPMENT,House of Wonders,None Empire,68019.0,48417.0,0.4048577978809096
JEWELRY,Private Buyer,Old Empire,30642.0,49520.0,-0.38121970920840065
TOOLS & KITS,Private Buyer,Bloodlands Empire,367879.0,419087.0,-0.12218942606189165
MUSICAL INSTRUMENT,Bottle's Up,Waterdhavian Empire,6075.0,23119.0,-0.7372291189065271
ADVENTURING EQUIPMENT,House of Wonders,Amnian Empire,1005677.0,1070525.0,-0.0605758856635763
ADVENTURING EQUIPMENT,Clothes Contact,None Empire,54740.0,44447.0,0.2315791841969086
MUSICAL INSTRUMENT,Bottle's Up,Old Empire,4995.0,1388.0,2.5987031700288186
TOOLS & KITS,Private Buyer,None Empire,120316.0,62941.0,0.9115679763588123
ADVENTURING EQUIPMENT,Clothes Contact,Old Empire,52452.0,132266.0,-0.603435501187002
JEWELRY,Private Buyer,Waterdhavian Empire,128409.0,141008.0,-0.08934954045160559
TOOLS & KITS,Private Buyer,New Neverwinter Empire,227118.0,225270.0,0.008203489146357601
MUSICAL INSTRUMENT,Bottle's Up,Purple Dragon Empire,50660.0,20826.0,1.432536252760972
ADVENTURING EQUIPMENT,Clothes Contact,Purple Dragon Empire,695209.0,645745.0,0.07659989624387342
TOOLS & KITS,Private Buyer,Halruaan Empire,468612.0,364857.0,0.2843716853452174
JEWELRY,Sprite's & Spirits,United Moonshae Empire,16934.0,,
MUSICAL INSTRUMENT,Bottle's Up,Southern Empire,5440.0,,
JEWELRY,Private Buyer,United Moonshae Empire,433172.0,416916.0,0.038991067745061336
TOOLS & KITS,Private Buyer,Eastern Empire,252085.0,242043.0,0.041488495845779516
ADVENTURING EQUIPMENT,Clothes Contact,Waterdhavian Empire,196285.0,243529.0,-0.1939974294642527
MUSICAL INSTRUMENT,Bottle's Up,Thayan Empire,35438.0,59543.0,-0.4048334816855046
JEWELRY,Private Buyer,Thayan Empire,253893.0,235916.0,0.07620085115040953
TOOLS & KITS,Private Buyer,Dwarven Empire,180060.0,229103.0,-0.21406528941131286
ADVENTURING EQUIPMENT,Clothes Contact,Western Empire,37130.0,67229.0,-0.44770857814336074
JEWELRY,Private Buyer,Purple Dragon Empire,303555.0,241076.0,0.2591672335694968
TOOLS & KITS,Private Buyer,Calim Empire,1074029.0,824904.0,0.3020048393510033
ADVENTURING EQUIPMENT,Clothes Contact,Thayan Empire,319662.0,281979.0,0.13363761131148055
TOOLS & KITS,Sprite's & Spirits,Southern Empire,13956.0,6630.0,1.104977375565611
MUSICAL INSTRUMENT,Black Phoenix,Halruaan Empire,101068.0,75573.0,0.3373559339975918
ADVENTURING EQUIPMENT,Bottle's Up,Halruaan Empire,571016.0,556450.0,0.02617665558450888
MUSICAL INSTRUMENT,Bardic College Union,Amnian Empire,53053.0,57662.0,-0.07993132392216706
JEWELRY,Zhentarim,Amnian Empire,86467.0,136185.0,-0.365076917428498
ADVENTURING EQUIPMENT,Bardic College Union,Thayan Empire,451170.0,344929.0,0.30800831475463064
TOOLS & KITS,Zhentarim,Calim Empire,144759.0,137798.0,0.05051597265562635
MUSICAL INSTRUMENT,Bardic College Union,Bloodlands Empire,3657.0,4075.0,-0.10257668711656442
ADVENTURING EQUIPMENT,Bardic College Union,United Moonshae Empire,34780.0,,
TOOLS & KITS,Zhentarim,Bloodlands Empire,127003.0,130772.0,-0.028821154375554436
JEWELRY,Three Wishes,Waterdhavian Empire,31465.0,68708.0,-0.5420475053851079
MUSICAL INSTRUMENT,Bardic College Union,Calim Empire,63149.0,31844.0,0.9830737344554705
ADVENTURING EQUIPMENT,Bardic College Union,Waterdhavian Empire,22212.0,66999.0,-0.668472663771101
TOOLS & KITS,Zhentarim,Amnian Empire,272595.0,314354.0,-0.13284068279710137
MUSICAL INSTRUMENT,Bardic College Union,Dwarven Empire,11945.0,18447.0,-0.35246923619016646
ADVENTURING EQUIPMENT,Bardic College Union,Western Empire,74274.0,108815.0,-0.31742866332766617
